X,Y,fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,DENSIDADE,tocantins_,tocantin_1,tocantin_2,tocantin_3,icon_url
-48.791190081456,-9.86578096871929,23,"1703107",Barrolândia,TO,697.759000000000015,8.099000000000000,TO,"17","3107","5651",./0.png
-48.969116751883,-7.98347521608587,24,"1703206",Bernardo Sayão,TO,924.044999999999959,4.814000000000000,TO,"17","3206","4448",./0.png
-47.8792200565833,-9.01240658079032,25,"1703305",Bom Jesus do Tocantins,TO,1326.946999999999889,3.774000000000000,TO,"17","3305","5008",./0.png
-48.4427929270421,-8.28990228102801,26,"1703602",Brasilândia do Tocantins,TO,645.908000000000015,3.423000000000000,TO,"17","3602","2211",./0.png
-48.6241267786707,-11.0292707838935,27,"1703701",Brejinho de Nazaré,TO,1722.589999999999918,3.204000000000000,TO,"17","3701","5519",./0.png
-48.1363139820568,-5.33766875862235,28,"1703800",Buriti do Tocantins,TO,252.729999999999990,45.491000000000000,TO,"17","3800","11497",./1.png
-47.8413359981704,-6.0900086228524,29,"1703826",Cachoeirinha,TO,351.535000000000025,6.497000000000000,TO,"17","3826","2284",./0.png
-46.804584267547,-8.20379901846568,30,"1703842",Campos Lindos,TO,3234.445000000000164,3.188000000000000,TO,"17","3842","10312",./1.png
-49.2027777757362,-11.9330275971039,31,"1703867",Cariri do Tocantins,TO,1126.290999999999940,3.943000000000000,TO,"17","3867","4441",./0.png
-48.3745430259239,-7.04512055499465,32,"1703883",Carmolândia,TO,339.365999999999985,7.670000000000000,TO,"17","3883","2603",./0.png
-48.009925449095,-5.33717280030667,33,"1703891",Carrasco Bonito,TO,190.352000000000004,21.696999999999999,TO,"17","3891","4130",./0.png
-49.8485719698548,-9.40166835762582,34,"1703909",Caseara,TO,1680.013999999999896,3.239000000000000,TO,"17","3909","5442",./0.png
-47.4447822220789,-9.07379500507557,35,"1704105",Centenário,TO,1953.134000000000015,1.503000000000000,TO,"17","4105","2936",./0.png
-49.1956714390642,-10.1657128020153,36,"1704600",Chapada de Areia,TO,658.563999999999965,2.141000000000000,TO,"17","4600","1410",./0.png
